City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,Nanortalik,60.1432,-45.2371,41.05,82,95,6.67,GL,2022-06-07 11:52:44
159,Samarai,-10.6167,150.6667,81.86,79,92,9.19,PG,2022-06-07 11:52:45
160,Imbituba,-28.24,-48.6703,62.1,99,100,3.0,BR,2022-06-07 11:52:45
161,Arman,59.7,150.1667,55.02,90,60,2.01,RU,2022-06-07 11:52:45
162,Praia Da Vitoria,38.7333,-27.0667,70.05,83,40,14.9,PT,2022-06-07 11:52:46
163,Benidorm,38.5382,-0.131,88.74,67,46,4.5,ES,2022-06-07 11:52:46
164,Fort Morgan,40.2503,-103.8,57.85,94,100,13.8,US,2022-06-07 11:52:46
165,Sobolevo,54.4299,31.8996,70.23,58,92,1.34,RU,2022-06-07 11:52:47
166,Bhadrachalam,17.6667,80.8833,107.55,17,53,6.17,IN,2022-06-07 11:52:47
167,Lompoc,34.6391,-120.4579,54.01,83,100,17.0,US,2022-06-07 11:52:47
168,Lagos,6.5833,3.75,89.92,59,52,5.32,NG,2022-06-07 11:50:21
169,Solnechnyy,50.7214,136.6319,58.96,71,94,3.98,RU,2022-06-07 11:52:48
170,Harper,4.375,-7.7169,81.91,71,100,4.59,LR,2022-06-07 11:52:48
171,Aloleng,16.1307,119.7824,83.5,77,93,8.37,PH,2022-06-07 11:52:48
172,Pevek,69.7008,170.3133,30.72,84,20,6.55,RU,2022-06-07 11:52:49
173,Nalut,30.3333,10.85,100.35,10,0,3.85,LY,2022-06-07 11:52:49
174,Dikson,73.5069,80.5464,31.95,88,26,5.41,RU,2022-06-07 11:52:49
175,Batticaloa,7.7102,81.6924,86.79,63,100,2.26,LK,2022-06-07 11:52:50
176,Oistins,13.0667,-59.5333,82.49,78,20,19.57,BB,2022-06-07 11:52:50
177,Les Cayes,18.2,-73.75,80.19,80,68,6.31,HT,2022-06-07 11:52:50
178,Kieta,-6.2167,155.6333,78.53,86,51,5.14,PG,2022-06-07 11:52:50
179,Nizhnyaya Poyma,56.1622,97.1933,53.33,51,81,4.83,RU,2022-06-07 11:52:51
180,Faanui,-16.4833,-151.75,79.27,76,36,14.65,PF,2022-06-07 11:52:51
181,Ilulissat,69.2167,-51.1,33.96,55,9,3.69,GL,2022-06-07 11:51:18
182,Fontenay-Le-Comte,46.5833,-1.0,68.45,49,36,17.16,FR,2022-06-07 11:53:52
183,Gazojak,41.1875,61.4036,102.36,5,0,3.71,TM,2022-06-07 11:53:52
184,Lata,40.1629,-8.3327,81.48,44,37,10.78,PT,2022-06-07 11:53:52
185,Muisne,0.6,-80.0333,74.77,79,100,2.01,EC,2022-06-07 11:53:53
186,Schneverdingen,53.1167,9.8,65.88,61,86,16.33,DE,2022-06-07 11:53:53
187,Naze,28.3667,129.4833,70.72,85,100,3.98,JP,2022-06-07 11:53:53
188,Kiama,-34.6833,150.8667,52.38,67,23,14.0,AU,2022-06-07 11:49:07
