City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
859,Curuca,BR,78.46,light rain,-0.7289,-47.8481,Hotel Curuça
860,Huilong,CN,70.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
862,Carnarvon,AU,69.78,clear sky,-24.8667,113.6333,Hospitality Carnarvon
863,Acajutla,SV,83.75,overcast clouds,13.5928,-89.8275,Laureles
864,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
865,Jamestown,US,70.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
866,Tiznit,MA,73.51,clear sky,29.5833,-9.5,
867,Sioux Lookout,CA,66.27,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
869,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
874,Nurota,UZ,82.18,few clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
875,Duluth,US,76.68,clear sky,46.7833,-92.1066,South Pier Inn
878,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
880,Maraa,BR,85.86,light rain,-1.8333,-65.3667,
881,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
883,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
886,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
887,Stolin,BY,67.26,light rain,51.8912,26.846,Stolinskiy Khlebozavod
890,Havre,FR,68.34,broken clouds,49.5833,0.3333,gite bois jourdain
891,Marfino,RU,69.71,clear sky,55.7028,37.3822,Nemchinovka-Park
892,Muli,MV,82.92,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
894,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
896,Albany,US,74.03,clear sky,42.6001,-73.9662,
897,Yurimaguas,PE,80.76,shower rain,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
898,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
900,Sola,VU,81.09,overcast clouds,-13.8833,167.55,Leumerus Bungalows
902,Kiunga,PG,73.22,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
903,Albany,US,74.03,clear sky,42.6001,-73.9662,
905,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
907,Willemstad,CW,87.71,clear sky,12.1084,-68.9335,Avila Beach Hotel
908,Maicao,CO,88.56,overcast clouds,11.3832,-72.2432,Hotel Sancho
909,Harpanahalli,IN,74.5,few clouds,14.8,75.9833,Bismillah Biriyani Hotel
910,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
911,Namibe,AO,71.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
912,Bethel,US,78.58,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
913,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
914,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
919,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
920,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
921,Nantucket,US,75.31,clear sky,41.2835,-70.0995,Jared Coffin House
924,Antalaha,MG,71.29,light rain,-14.9003,50.2788,Hotel Vitasoa
925,Thinadhoo,MV,84.24,overcast clouds,0.5333,72.9333,
928,Auki,SB,75.54,few clouds,-8.7676,160.7034,Auki Motel
931,Lata,PT,68.81,clear sky,40.1629,-8.3327,Casa Maquia
